Code	Description
ABM	AMBULATORY MEDICINE
ABO	ABORTION SERVICES
ABS	ABDOMINAL SURGERY
ACC	Alcohol and Other Drug Abuse CERTIFIED COUNSELOR
ACP	ACUPUNCTURE
ADD	ADDICTIONOLOGY
ADL	ADOLESCENT MEDICINE
ALL	ALLERGY
ALM	ALLERGY AND IMMUNOLOGY
AMA	AEROSPACE MEDICINE
AMB	AMBULANCE
ANA	ANATOMIC PATHOLOGY
ANE	ANESTHESIOLOGY
ANP	ADVANCED NURSE PRACTITIONER
AOD	ALCOHOL AND OTHER DRUG FACILITY
ARS	ARTHROSCOPIC SURGERY
ATT	AIDS TESTING/TREATMENT
AUD	AUDIOLOGY
BAI	BARIATRIC MEDICINE
BAR	BARIATRICS
BHM	BEHAVIORAL MEDICINE
BIO	BIOMEDICINE
BRN	BURN SPECIALISTS
CAC	CANCER CENTER
CAD	CARDIOVASCULAR DISEASES
CAI	CARDIOLOGY-INVASIVE
CAN	CARDIOLOGY-NONINVASIVE
CAR	CARDIOLOGY
CAS	CARDIOVASCULAR SURGERY
CAT	CARDIOTHORACIC SURGERY
CHI	CHIROPRACTOR
CHN	CHILD NEUROLOGY
CHR	CHIROPRACTIC FACILITY
CLN	CLINIC
CLP	CLINICAL PATHOLOGY
CON	CONVENIENCE CARE
COR	CORNEAL DISEASES
COT	COUNSELOR/THERAPIST
CPF	CLINICAL PERFUSIONIST
CPY	CLINICAL PSYCHOLOGIST
CRC	CRITICAL CARE
CRS	COLON AND RECTAL SURGERY
CSW	CLINICAL SOCIAL WORKER
DAD	DRUG ALCOHOL DETOX CENTER
DEN	GENERAL DENTIST
DEP	DERMATOPATHOLOGY
DER	DERMATOLOGY
DIA	DIABETES
DIE	REGISTERED DIETITIAN
DIR	DIRECTOR, MEDICAL
DIY	DIALYSIS CENTER
DME	DURABLE MEDICAL EQUIPMENT
DOM	DOCTOR OF ORIENTAL MEDICINE
DON	NAPRAPATHY
DPS	DEPARTMENT OF HEALTH AND SOCIAL SERVICES
DVD	DEVELOPMENTAL DISABILITIES
EDC	ENDOSCOPY CENTER
EDD	ENDODONTIST
ELC	ELECTROMYOGRAPHY
ELT	ELECTRODIAGNOSTIC MEDICINE
EME	EMERGENCY MEDICINE
END	ENDOCRINOLOGY
FAC	FACILITY FEES
FPR	FAMILY PRACTICE
FPS	FACIAL PLASTIC SURGERY
GAS	GASTROENTEROLOGY
GEN	GENETICS
GEP	GENERAL PRACTICE
GER	GERIATRICS
GES	GENERAL SURGERY
GLA	GLAUCOMA DISEASES
GME	GERIATRIC MEDICINE EMERGENCY
GON	GYNECOLOGIC ONCOLOGY
GPM	GENERAL PREVENTATIVE MEDICINE
GYN	GYNECOLOGY
HAS	HAND SURGERY
HEM	HEMATOLOGY
HEO	HEMATOLOGY & ONCOLOGY
HEP	HEPATOLOGY
HHC	HOME HEALTH CARE FACILITY
HNS	HEAD AND NECK SURGERY
HOM	HOMEOPATHY
HOP	HOSPITAL - SPECIALTY
HOS	HOSPITAL - ACUTE LONG TERM
HPC	HOSPICE
HRE	HAND REHAB
